
=== Parasoft C/C++test - Code Coverage Report ===

* LC - Line Coverage
* DC - Decision (Branch) Coverage
* SCC - Simple Condition Coverage
* MCDC - Modified Condition Decision Coverage

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/buffer/include/iox/detail/stack.inl LC=96% 43/45   DC=89% 16/18   SCC=89% 16/18  MCDC=78% 7/9   

  bool iox::stack<T1, unsigned long>::push<T1...>(T1 &&...) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::stack<T1, unsigned long>::clear() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::stack<T1, unsigned long>::clearFrom(unsigned long) LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::stack<T1, unsigned long>::copy(const iox::stack<T1, unsigned long>&) LC=100% 10/10  DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::stack<T1, unsigned long>::getUnchecked(unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::stack<T1, unsigned long>::getUnchecked(unsigned long) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::stack<T1, unsigned long>::move(iox::stack<T1, unsigned long>&&) LC=100% 11/11  DC=100% 4/4    SCC=100% 4/4   MCDC=100% 2/2  
  iox::stack<T1, unsigned long>::operator =(const iox::stack<T1, unsigned long>&) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::stack<T1, unsigned long>::operator =(iox::stack<T1, unsigned long>&&) LC=67% 2/3     DC=50% 1/2     SCC=50% 1/2    MCDC=0% 0/1    
  iox::stack<T1, unsigned long>::pop() LC=100% 5/5    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::stack<T1, unsigned long>::size() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::stack<T1, unsigned long>::stack(const iox::stack<T1, unsigned long>&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::stack<T1, unsigned long>::stack(iox::stack<T1, unsigned long>&&) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::stack<T1, unsigned long>::~stack() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/container/include/iox/detail/uninitialized_array.inl LC=100% 4/4    DC=N/A         SCC=N/A        MCDC=N/A       

  iox::UninitializedArray<T1, unsigned long, T3>::begin() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::UninitializedArray<T1, unsigned long, T3>::begin() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::UninitializedArray<T1, unsigned long, T3>::end() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::UninitializedArray<T1, unsigned long, T3>::end() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       

> /home/demo-user/sandbox/demo-project/iceoryx_master/iceoryx_hoofs/container/include/iox/detail/vector.inl LC=100% 97/97  DC=95% 40/42   SCC=93% 54/58  MCDC=86% 25/29 

  bool iox::vector<T1, unsigned long>::emplace<T1...>(unsigned long, T1 &&...) LC=100% 11/11  DC=100% 6/6    SCC=100% 10/10 MCDC=100% 5/5  
  bool iox::vector<T1, unsigned long>::emplace_back<T1...>(T1 &&...) LC=100% 4/4    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  bool iox::vector<T1, unsigned long>::resize<T1...>(unsigned long, const T1 &...) LC=100% 7/7    DC=100% 6/6    SCC=100% 6/6   MCDC=100% 3/3  
  iox::vector<T1, unsigned long>::at(unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::at(unsigned long) const LC=100% 2/2    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::vector<T1, unsigned long>::at_unchecked(unsigned long) LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::at_unchecked(unsigned long) const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::back() LC=100% 2/2    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::back() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::begin() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::begin() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::clear() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::clearFrom(unsigned long) LC=100% 2/2    DC=100% 2/2    SCC=100% 2/2   MCDC=100% 1/1  
  iox::vector<T1, unsigned long>::data() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::data() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::empty() const LC=100% 1/1    DC=N/A         SCC=100% 2/2   MCDC=100% 1/1  
  iox::vector<T1, unsigned long>::end() LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
  iox::vector<T1, unsigned long>::end() const LC=100% 1/1    DC=N/A         SCC=N/A        MCDC=N/A       
